order_id,product_id,quantity
40940,55315,53
69606,23797,57
19227,16220,15
49716,79854,30
88689,98635,19
99087,42410,35
26468,77854,55
9739,22990,64
95757,40708,16
18531,92945,2
21585,84281,70
71595,3733,21
61228,59384,15
24676,23313,43
89622,48413,9
31161,93915,25
72788,58440,34
25694,39854,59
91671,62857,84
34801,17716,48
5355,8214,16
34304,22559,73
62772,67945,60
76645,90022,3
54522,51853,23
96079,30794,15
91713,82385,30
92690,72343,68
47295,78144,45
17212,82376,77
86523,70715,18
11096,48665,30
47530,28536,84
93322,67060,43
40739,93780,29
12215,35860,36
1641,29797,15
78461,68810,64
91526,94418,94
85890,96398,41
1265,56680,72
9764,14409,56
42846,19437,48
17422,43058,55
93669,23096,30
4700,31837,65
53311,91896,56
41906,85831,44
85657,62700,31
499,84707,92
41154,9409,58
30444,60539,46
28777,83927,41
40105,3928,87
73462,7978,91
75824,5322,72
16414,5065,32
26640,87643,55
38412,10399,54
93153,47273,93
41359,33234,50
66919,29407,58
4055,36223,96
40822,24020,76
44137,3522,6
56075,88345,30
79908,17476,25
94995,21343,82
86034,72251,25
25973,19036,77
63329,36489,11
41873,89856,74
90034,13392,42
7207,41860,11
31520,35453,7
98322,15371,41
11426,37453,2
95444,42511,81
34361,64306,84
65147,37803,50
96656,81371,82
12678,95817,59
75788,52573,75
60415,7432,44
69942,15602,75
64404,20190,59
80808,38845,78
10796,35374,80
78266,13799,74
52226,68164,86
9056,34401,75
53576,31420,61
97031,21690,10
62067,45994,20
69955,82970,80
57676,63660,65
20252,90035,6
38588,54582,13
83487,48157,45
14642,74818,48
86928,38301,82
3724,91240,34
27324,29172,97
5559,57841,98
27549,53801,86
29231,67596,54
96350,29761,35
31144,19051,43
55186,52911,24
28141,31607,64
93460,19211,84
70734,71890,15
68150,45768,2
97462,99713,3
55405,81089,88
32982,90208,75
95678,44393,96
6280,10981,62
7539,97894,48
2662,11137,57
80246,2422,47
48761,27875,65
6027,98962,62
99297,46474,71
94841,24552,92
56837,11217,70
39610,12924,44
30427,8214,78
67381,13021,28
45472,84239,2
37044,80081,56
20910,87337,31
32855,79072,27
46469,24968,23
45522,46484,50
79483,90147,91
96369,65822,63
84587,39739,23
7650,88517,69
37570,99240,7
52215,46043,98
5608,69106,63
40728,55283,95
37370,18476,53
98514,86861,63
26302,79514,34
23004,70485,83
67447,22947,86
19618,1016,16
77591,52341,93
23722,52665,80
88904,32274,72
30140,58815,86
45298,79220,30
93020,1710,83
91633,46251,29
35885,20826,22
19372,19079,21
78270,32779,59
52631,48019,57
40429,55831,6
46386,63798,29
71456,79833,88
89595,16717,26
64939,41640,44
6676,81683,13
41682,90088,58
88104,12982,85
38208,46444,39
60314,71660,49
98694,13035,17
60285,97064,37
34791,22821,39
95752,14418,27
25347,82079,31
77832,44270,77
74467,73506,68
11855,18057,18
6925,67686,48
33478,89916,68
99576,58891,98
31120,94367,22
825,97730,13
78417,70471,99
42757,43250,43
94625,6361,40
15196,76967,20
68225,20961,96
19190,32193,91
41756,41394,89
16549,51504,56
38809,46842,48
4978,19518,18
94636,71470,51
14062,83166,63
63522,1953,15
79593,62427,63
70608,3532,72
52224,80067,65
43175,94837,99
80913,15512,24
37400,47489,29
27387,18878,55
78936,56605,48
4152,3320,3
33674,71796,94
22798,31288,88
81721,18687,38
23132,21101,19
28607,64967,47
97609,36609,70
45347,57817,72
4997,89151,65
70366,54917,81
39063,94339,16
1403,59636,82
23909,2916,86
98399,63097,30
61711,30873,62
41460,18933,37
99901,22200,94
31340,45274,42
43696,50298,48
69734,55889,69
36446,3164,77
90354,28561,19
17249,87498,79
6841,22618,9
29912,1547,94
90077,87689,58
29651,3193,23
46722,88839,94
91323,98667,82
6803,94671,64
42485,40098,54
53950,65418,18
57279,55834,91
54783,56904,51
17331,87553,85
43222,69136,49
21316,55262,44
10009,10930,83
26023,40966,56
77706,62117,45
22508,76925,68
84315,33679,63
88126,71977,68
18181,93289,88
65500,6886,47
42341,54508,54
37550,3690,42
54078,16864,59
25548,4332,75
98917,66289,91
22780,64604,96
1283,52193,56
3725,23456,97
72781,26278,8
7275,39378,76
44235,9876,91
85706,35409,48
65866,6333,22
18193,91168,54
77503,84100,88
87127,66777,55
620,83063,27
79173,11947,89
92331,42995,99
38106,8871,67
31773,85202,43
75365,6044,63
70728,81518,87
22982,71596,40
82635,16456,7
5533,23185,84
76839,68985,39
81640,31000,48
5621,79288,57
83721,8930,79
95979,39166,3
37161,92175,18
38549,5688,54
78327,52114,38
72183,40209,26
78401,52680,42
81426,4009,4
97273,69212,3
65670,43926,62
11931,89650,64
92506,87041,38
6493,40506,17
4854,51783,27
40403,39533,74
44965,44791,82
32135,47021,97
25363,44425,38
98994,31654,91
3031,70900,94
47532,17725,17
74471,24596,26
25187,81058,26
63996,86147,1
55193,29617,48
45329,68689,86
96329,96138,77
93070,21832,41
81290,60611,17
27162,87362,24
37227,92607,5
85131,61863,51
45877,73354,66
16161,79204,1
8078,55246,99
30957,74250,44
98271,66962,82
80407,39643,46
21816,57878,44
31769,1282,88
28635,75672,77
55027,34729,6
40951,11277,14
35317,7126,33
65328,19819,63
58139,61329,32
85607,79702,25
87203,31520,57
97823,91660,82
97742,9193,38
80044,63296,97
25968,27156,3
38354,88192,24
50368,87794,23
20881,48100,72
56556,97726,87
25837,45792,25
28095,67753,61
5405,95149,26
3495,20529,84
347,93356,24
65250,87052,64
63143,70299,86
53455,5471,92
71610,41168,78
78846,99957,19
57911,17718,95
86223,64545,2
32105,59153,15
63887,34876,85
45981,12048,38
40727,81890,26
34450,85841,45
73372,1683,38
84507,44077,33
96144,41602,95
91483,34682,83
17145,66407,46
28390,80453,33
29106,10040,17
46041,14382,71
12485,10895,61
74382,63591,71
65215,80067,96
78835,53348,88
83409,16204,45
18037,78449,96
89907,15447,70
47754,28143,91
35069,28273,20
43776,36653,35
24675,32854,38
90025,26059,37
64142,88242,25
73679,73766,81
34018,49531,50
84429,86017,1
60525,3105,10
28614,37057,45
37437,80028,97
59200,92046,81
14534,62255,22
30305,47056,93
26340,41617,55
26295,98595,60
56063,88939,53
32942,1377,17
3303,87319,83
43032,22989,56
82931,80898,13
215,47785,4
7931,71063,22
42674,17582,92
72445,32436,93
75450,12503,7
47880,92387,61
53601,10618,90
32646,50899,19
3566,88557,7
2112,68825,84
28110,19550,45
52722,11592,37
14651,35027,44
83362,58207,71
72935,48523,83
16410,39458,71
69881,76104,71
93693,70272,34
61953,20409,43
16325,62939,85
94761,11983,35
27710,62685,95
27787,37656,79
39654,44839,63
54189,48462,76
82063,96639,45
3325,37645,31
89869,97051,1
68987,63051,9
