ID,customer_id,date,hour
24964,81036,2015-11-07,10
42224,22384,2013-08-07,10
620,85184,2020-03-31,23
41199,12346,2019-10-26,0
49982,52460,2013-07-23,18
48803,48716,2019-09-03,3
98993,78542,2017-03-29,14
76509,36855,2019-01-04,13
77604,36326,2018-11-21,20
38620,68184,2019-09-26,1
83704,83023,2012-05-22,16
91840,34799,2012-05-12,18
23390,53466,2010-09-22,18
10957,57256,2017-08-03,14
95325,475,2018-08-22,8
71428,12707,2010-09-07,0
54042,45690,2015-03-20,2
56975,9004,2010-03-05,15
95645,55403,2012-09-08,22
15253,37463,2020-12-22,23
42605,70379,2012-10-12,8
25850,61791,2015-05-01,3
91229,42945,2015-12-19,13
45778,92369,2012-03-06,12
72328,79913,2019-12-25,0
58549,92507,2018-10-19,1
76449,64417,2017-10-01,20
18409,15297,2016-07-24,4
21858,19366,2017-01-31,14
87473,60532,2011-04-06,0
31884,38711,2010-01-20,13
10966,18867,2018-07-24,2
69407,16291,2012-06-16,3
95368,40382,2020-12-30,8
2866,96503,2017-06-25,20
79360,95433,2020-08-08,16
6833,87029,2015-10-01,4
81364,79101,2017-08-15,2
91696,30649,2015-01-27,2
84926,75293,2013-03-25,2
92124,12637,2015-01-08,5
33753,59564,2015-12-27,20
25717,36954,2014-09-17,1
43155,11925,2010-04-07,16
84438,65585,2013-02-06,1
13969,68246,2010-07-27,13
48681,97294,2014-11-22,20
28164,46801,2010-11-14,5
1108,95907,2010-08-01,16
39171,48841,2010-02-23,23
68289,2416,2011-06-09,6
91820,55759,2014-03-01,2
17761,33304,2016-04-10,15
18183,31185,2010-06-30,8
44980,4471,2011-05-28,6
78687,70098,2014-05-13,18
79293,91791,2014-06-22,22
57825,17215,2018-02-14,10
29624,89721,2011-03-11,2
59300,32010,2011-12-14,20
96367,34071,2019-03-25,0
60206,80051,2020-12-29,16
22158,91761,2015-10-18,16
71939,26563,2017-09-10,0
34927,98016,2010-01-11,7
52452,61762,2018-06-25,23
91399,54020,2020-05-04,15
19756,27257,2017-11-26,16
31741,18793,2015-08-23,13
3629,94125,2014-09-01,11
94206,77586,2016-09-17,6
1914,55701,2011-02-26,20
25939,92926,2015-04-05,17
92537,21170,2010-03-11,7
81729,48980,2016-02-10,18
51662,76163,2020-08-09,0
51590,82179,2015-02-17,1
80744,5512,2019-12-15,13
50703,79431,2014-04-12,7
54951,48638,2018-08-31,10
83177,87620,2013-05-13,2
89711,26200,2019-09-02,19
82090,93715,2020-04-29,19
66813,55116,2019-11-21,13
12585,67142,2017-05-14,15
88765,19413,2015-02-28,19
92417,16936,2016-08-14,10
23063,30301,2019-07-16,15
14116,16156,2011-01-03,5
63297,24823,2015-07-09,10
46210,77371,2014-06-20,1
38042,22206,2012-01-11,13
52498,81201,2017-04-05,6
17971,92001,2010-05-03,2
38051,64243,2016-12-16,4
8468,17764,2010-05-05,3
49083,90824,2013-11-18,20
26122,36543,2012-09-01,6
30562,43987,2014-07-01,0
54374,70175,2011-02-22,3
94554,40343,2013-01-23,9
88946,83941,2017-03-16,2
67816,40577,2011-12-24,3
94059,34121,2018-05-29,5
89885,45160,2020-06-16,10
76035,76001,2014-12-10,5
73161,41079,2010-11-07,2
77754,1386,2015-12-22,0
61191,93378,2017-03-30,8
57938,78133,2013-01-25,22
19165,74773,2017-10-09,16
72335,48593,2018-01-13,9
94894,87242,2019-05-11,7
15825,32357,2012-01-01,20
13147,9456,2015-08-26,13
80751,4759,2012-02-09,4
60714,67609,2010-02-05,20
9497,14026,2015-09-16,3
78197,96080,2017-02-07,4
26220,43302,2014-05-05,6
84213,61249,2010-09-26,8
93352,26605,2013-03-03,7
84800,86204,2016-01-02,11
4829,81518,2014-11-22,22
86380,38116,2011-01-24,0
67294,79022,2010-06-07,9
54015,66265,2015-07-14,1
68402,69066,2011-07-02,11
69829,58861,2013-02-16,17
95001,55911,2017-02-14,22
35404,26080,2011-04-14,2
59576,46642,2014-06-29,15
42678,16249,2019-03-13,8
20834,88872,2019-07-30,15
29723,75616,2015-11-10,18
30023,83056,2012-03-11,9
99350,63081,2012-06-10,17
66676,94126,2019-11-21,18
80207,98395,2013-12-22,5
26749,97875,2014-10-22,3
50305,15926,2010-01-14,0
50636,69392,2013-11-23,23
30549,25338,2012-01-15,9
69780,86477,2014-05-19,17
90579,14505,2020-03-26,7
66776,51685,2013-08-07,8
10870,33443,2019-08-15,3
1313,70557,2020-11-08,13
45942,24557,2020-12-30,19
40841,81479,2011-05-04,4
51051,78836,2019-12-27,9
62681,46268,2020-06-17,21
19584,16950,2016-10-27,14
25987,61080,2020-04-30,15
56917,75865,2017-12-14,10
89347,81516,2019-06-24,7
88178,64123,2015-10-21,7
13477,8828,2017-04-25,13
61174,55103,2014-11-20,0
42171,40575,2014-03-29,6
46998,48461,2019-03-11,16
875,84143,2016-11-08,7
56984,87728,2013-08-23,3
7731,70191,2020-01-18,19
28143,75704,2011-02-07,8
74683,48817,2013-10-07,21
87557,98640,2017-11-27,2
93751,46515,2012-10-25,3
26651,65347,2013-04-16,6
97423,74401,2015-05-06,4
43359,99691,2011-11-24,17
33359,60116,2018-02-10,17
21394,28849,2011-07-14,22
39139,29235,2016-02-27,7
97922,94023,2012-01-03,14
43166,8269,2018-11-24,3
9283,1212,2020-04-23,10
87398,67904,2014-01-09,23
40533,89111,2015-06-13,19
76826,94392,2015-11-30,4
60750,48249,2019-05-23,1
40700,9884,2014-06-23,23
77698,34203,2015-07-10,21
96089,45729,2016-09-17,4
79384,22791,2019-11-15,18
63363,93790,2012-04-06,14
39096,95098,2010-12-02,3
50780,3362,2018-05-24,22
74166,3831,2010-11-15,20
50662,25497,2016-12-21,4
88323,54167,2012-01-26,21
45204,94097,2017-01-30,18
85887,89969,2013-10-28,3
86756,50977,2014-03-21,9
27934,32896,2010-10-17,3
54999,60831,2016-05-25,16
54067,82341,2012-04-17,4
15033,52281,2018-01-04,8
13216,62699,2015-02-11,14
93883,14294,2016-10-15,21
28106,16255,2018-05-04,11
98063,27304,2012-10-02,22
24926,22905,2013-06-21,12
19413,63242,2012-09-06,12
95634,48242,2019-09-13,11
76675,34721,2013-01-09,4
51821,63386,2019-05-04,23
76625,52579,2018-08-19,22
85278,81553,2017-07-23,21
22496,71709,2019-01-17,5
2933,47349,2010-01-20,7
61047,91396,2012-04-14,13
52753,49455,2016-04-20,19
17362,24407,2010-02-10,22
11006,60140,2015-11-18,15
7407,53420,2012-12-27,10
21621,26029,2018-12-16,19
96272,32309,2016-03-14,14
43054,73582,2013-01-20,15
90198,87622,2011-12-20,8
54068,91992,2014-03-05,14
1001,36442,2018-01-18,15
8388,22568,2014-09-03,20
54400,75473,2014-05-24,20
97623,82349,2013-10-26,15
56879,62143,2020-07-18,15
8800,47794,2014-01-17,10
73598,87968,2012-10-28,11
91233,56752,2016-04-02,23
62622,95163,2016-10-08,21
59762,35089,2013-06-18,18
64178,95315,2019-04-24,3
43068,25007,2015-08-12,16
34594,45635,2011-02-27,2
41132,21585,2019-10-17,8
45405,85496,2015-05-24,21
17051,45643,2016-05-18,10
60572,58912,2010-07-21,23
55625,48901,2010-11-27,12
3321,14819,2014-01-19,2
84473,56234,2014-10-31,5
36481,24114,2010-03-28,16
39622,65481,2014-10-05,8
7411,26098,2013-01-31,23
55792,5590,2013-09-20,22
31215,23625,2015-04-03,12
14756,66855,2014-04-26,15
87333,82546,2012-11-13,9
77968,84629,2018-09-26,13
14009,65061,2014-02-23,3
15494,62113,2019-09-21,14
89016,8367,2010-08-14,12
29640,30443,2010-01-01,17
85156,70800,2019-04-22,10
19086,40219,2012-11-11,8
34224,70046,2015-03-18,5
54722,49164,2010-11-25,16
32181,99556,2011-03-05,13
83790,93523,2020-03-12,7
1384,19066,2016-02-04,15
39964,67906,2016-11-08,15
28848,43518,2020-04-18,23
12143,53306,2017-11-02,1
96611,21585,2010-04-05,15
93870,46068,2012-04-07,12
15901,29518,2013-02-12,10
58601,92542,2020-03-01,4
24196,15746,2020-05-21,10
12397,53776,2016-08-29,5
4856,81808,2018-01-27,18
66112,27939,2011-02-10,6
98247,78956,2016-04-29,17
98954,65334,2010-06-17,6
25930,32493,2011-12-06,21
30654,71238,2020-11-20,11
28136,80748,2012-10-17,3
77601,67575,2020-06-04,14
8020,17140,2010-12-13,14
21407,70313,2017-06-14,16
5829,926,2013-10-17,22
54699,24641,2019-07-28,0
84780,32686,2013-03-02,18
42223,34489,2012-12-25,10
41269,82264,2010-06-26,2
67418,3608,2012-11-18,2
8679,16521,2013-06-06,14
82289,12344,2015-12-07,3
51011,13581,2016-09-17,23
86211,79507,2017-01-02,2
42187,44224,2017-12-30,21
48715,55749,2017-02-13,10
55229,26743,2020-08-17,9
66533,52588,2011-09-15,10
